alfalfa,BEAN
beans,BEAN
broad bean,BEAN
chickpea/garbanzo bean,BEAN
fava bean,BEAN
french bean,BEAN
hyacinth bean,BEAN
lima bean,BEAN
mung bean,BEAN
rice bean,BEAN
runner bean,BEAN
soybean,BEAN
clover,BEAN
cowpea,BEAN
fenugreek,BEAN
lentil,BEAN
lupin,BEAN
peas,BEAN
peanuts,BEAN
tares/vetches,BEAN
trefoil,BEAN
amaranth,BEET
beet,BEET
beetroot,BEET
chard,BEET
good king henry,BEET
goosefoot,BEET
lambâ€™s quarters,BEET
pigweed,BEET
quinoa,BEET
spinach,BEET
sugar beet,BEET
swiss chard,BEET
bok choi,CABB
broccoli,CABB
broccoli raab,CABB
brussels sprouts,CABB
cabbage,CABB
calabrese,CABB
cauliflower,CABB
chinese cabbage,CABB
collards,CABB
cress,CABB
daikon,CABB
horseradish,CABB
kale,CABB
kohlrabi,CABB
mustard,CABB
radish,CABB
rutabaga,CABB
swede,CABB
tatsoi,CABB
turnip,CABB
wasabi,CABB
watercress,CABB
caraway,CARR
carrot,CARR
celery,CARR
celeriac,CARR
chervil,CARR
coriander/cilantro,CARR
cumin,CARR
dill,CARR
fennel,CARR
parsley,CARR
parsnip,CARR
root parsley,CARR
artemisia,DAIS
cardoon,DAIS
chamomile,DAIS
chicory,DAIS
chrysanthemums dandelion,DAIS
endive,DAIS
escarole,DAIS
globe artichoke,DAIS
jerusalem artichoke,DAIS
lettuce,DAIS
marigolds,DAIS
safflower,DAIS
salsify,DAIS
scorzonera,DAIS
shungiku (edible chrysanthemum),DAIS
sunflower,DAIS
tarragon,DAIS
barley,GRAS
corn/maize,GRAS
mallet,GRAS
oats,GRAS
rice,GRAS
rye,GRAS
sorghum,GRAS
sugarcane,GRAS
wheat,GRAS
lambs lettuce,MISC
new zealand spinach,MISC
purslane,MISC
portulaca,MISC
miners lettuce,MISC
rhubarb,MISC
buckwheat,MISC
Okra,MISC
phacelia,MISC
grazing rye,MISC
chives,ONIO
garlic,ONIO
garlic chives,ONIO
elephant garlic,ONIO
leeks,ONIO
onion,ONIO
scallions,ONIO
shallot,ONIO
aubergine,POTA
garden huckleberry,POTA
peppers,POTA
chili pepper,POTA
habanero,POTA
hot paper lantern,POTA
paprika,POTA
potato,POTA
tobacco,POTA
tomato,POTA
tomatillo/husk cherry,POTA
cucumber,SQUA
gourds,SQUA
bitter gourd,SQUA
hardshelled gourd,SQUA
smooth luffa,SQUA
snake gourd),SQUA
melons,SQUA
casaba,SQUA
honeydew melon,SQUA
water melon,SQUA
squash/marrow,SQUA
banana,SQUA
buttercup,SQUA
butternut,SQUA
cheese,SQUA
crookneck,SQUA
delicata,SQUA
golden cushaw,SQUA
hubbard,SQUA
kabocha,SQUA
pumpkin,SQUA
scallop,SQUA
spaghetti,SQUA
courgette,SQUA
west indian gherkin,SQUA